LatitudeMachine,LongitudeMachine,XCoordCraneTip,YCoordCraneTip,DBH,SpeciesGroupID,CommercialVolume,SawLogVolume,TheoreticalSawLogVolume,Rotten200WithSawLog
61.206787109375,28.59920310974121,585918.0751703813,6786869.40492035,90,2,0.02370000071823597,0,0,0
61.20677947998047,28.59920310974121,585918.4226980994,6786868.268208403,118,2,0.07729999907314777,0,0,0
61.20674514770508,28.599164962768555,585916.1191313794,6786861.455207564,102,3,0.02380000054836273,0,0,NA
61.206748962402344,28.59915542602539,585917.3843282004,6786860.815359293,94,3,0.02180000022053718,0,0,NA
61.20675277709961,28.5991268157959,585915.300132419,6786861.941224025,136,2,0.07460000179708004,0,0,0
61.206756591796875,28.599136352539062,585918.7592304682,6786860.150576646,100,2,0.02380000054836273,0,0,0
61.20676040649414,28.59914207458496,585919.64234324,6786859.862153713,120,2,0.06080000102519989,0,0,0
61.20676040649414,28.599105834960938,585917.6254608509,6786860.340320276,163,3,0.13039999827742577,0,0,NA
61.20674133300781,28.59909439086914,585913.4679326423,6786861.323875833,302,1,0.6476999893784523,0.1168999969959259,0.5949211146829722,NA
61.206748962402344,28.59902572631836,585912.186172754,6786859.4042514125,100,2,0.04110000096261501,0,0,0
61.20675277709961,28.599048614501953,585907.9836196208,6786865.326105961,215,2,0.17069999873638153,0,0,0
61.20672607421875,28.59903335571289,585908.1132664738,6786863.240318544,86,2,0.01539999991655349,0,0,0
61.20673751831055,28.599023818969727,585907.8372340236,6786863.570808795,157,2,0.14130000211298466,0,0,0
61.20675277709961,28.598976135253903,585904.9238143374,6786868.827112006,152,2,0.1051000040024519,0,0,0
61.20675277709961,28.59898376464844,585904.8824539869,6786868.43100319,249,1,0.5319999940693378,0.45829999446868896,0.46149268250879566,NA
61.20676040649414,28.59897232055664,585905.347742692,6786864.888335915,254,1,0.5812999997287989,0.36980000138282776,0.5138303092607206,NA
61.20676040649414,28.598939895629883,585904.5766050032,6786870.924006643,170,2,0.13599999994039536,0,0,0
61.20677947998047,28.598913192749023,585901.3391343174,6786872.427241541,261,1,0.5754000190645456,0.4856000170111656,0.5070916811523063,NA
61.206787109375,28.598920822143555,585901.2619878292,6786870.748322014,278,1,0.7161999903619289,0.6252999901771545,0.6580038283293538,NA
61.20679473876953,28.598901748657227,585900.7200548974,6786872.511640887,211,1,0.33080000802874565,0.13940000534057617,0.25373926665094443,NA
61.20680618286133,28.59888458251953,585899.5527287984,6786871.412761863,171,1,0.19910000264644623,0,0,NA
61.2067985534668,28.598852157592773,585899.1763271586,6786876.2576952465,97,1,0.02510000020265579,0,0,NA
61.206790924072266,28.59885025024414,585899.9499799104,6786877.371564253,125,2,0.04300000006332993,0,0,0
61.20680618286133,28.598833084106445,585898.438066076,6786876.003205894,239,1,0.3849000073969364,0.287200003862381,0.3022314984562081,NA
61.20679473876953,28.598854064941406,585898.1854422839,6786873.647370172,231,1,0.394399993121624,0.27729999274015427,0.3130208279813042,NA
61.20685195922851,28.598783493041992,585893.9957613312,6786881.175266344,180,2,0.16369999945163727,0,0,0
61.206844329833984,28.598766326904297,585893.6314664689,6786881.269129518,76,2,0.0142000000923872,0,0,0
61.20685195922851,28.5987548828125,585893.0169792777,6786875.385138419,188,1,0.2514999993145466,0.13369999825954437,0.14119897992366345,NA
61.20684051513672,28.5987491607666,585892.90589625,6786875.921214262,125,2,0.07019999995827675,0,0,0
61.20685958862305,28.598737716674805,585891.6470210096,6786880.968604369,247,2,0.4028000049293041,0,0.3203841080187891,0
61.20686340332031,28.598745346069336,585893.2778728259,6786874.659241554,237,1,0.38989999145269394,0.11739999800920486,0.3087507957961649,NA
61.20687484741211,28.598712921142575,585890.6018704157,6786879.652867511,92,2,0.03799999877810478,0,0,0
61.20687484741211,28.598718643188477,585892.0712330395,6786885.265869466,79,2,0.01539999991655349,0,0,0
61.20686721801758,28.59872055053711,585890.6430817656,6786879.289355154,87,2,0.01830000057816505,0,0,0
61.20688247680664,28.598651885986328,585887.889525726,6786885.057693745,141,1,0.13890000246465206,0,0,NA
61.206886291503906,28.598663330078125,585887.6956508018,6786884.394304379,97,2,0.03940000012516975,0,0,0
61.20691680908203,28.598657608032227,585888.2245410896,6786888.436779786,100,2,0.03240000084042549,0,0,0
61.206912994384766,28.59867477416992,585887.790009725,6786882.883084622,222,1,0.436500009149313,0.3093000054359436,0.3623976677045127,NA
61.206912994384766,28.598655700683594,585887.562660215,6786882.575634032,72,1,0.01310000009834766,0,0,NA
61.20690155029297,28.59866523742676,585888.0602996212,6786880.97079375,258,1,0.5795999988913536,0.5192999988794327,0.5300219221209116,NA
61.206905364990234,28.598661422729492,585888.2854435967,6786887.894598941,242,1,0.48660000413656235,0.42720000445842743,0.4328053885326012,NA
61.20692443847656,28.598621368408203,585887.6777842899,6786893.1003883965,149,2,0.07670000195503235,0,0,0
61.206932067871094,28.5986270904541,585885.5994326721,6786888.4653675165,221,2,0.32840000465512276,0,0.24981704321017265,0
61.20694732666016,28.598630905151367,585885.678416887,6786891.388016088,84,2,0.01779999956488609,0,0,0
61.206932067871094,28.598587036132812,585896.9880150951,6786894.727148975,187,2,0.09449999965727328,0,0,0
61.206939697265625,28.598588943481445,585883.8353996072,6786889.9496084135,255,1,0.5939000174403191,0.3888000100851059,0.5393678611413689,NA
61.20694732666016,28.598594665527344,585884.8006994097,6786892.719946376,330,2,1.047099992632866,0.6299999952316284,0.9960391819911276,1
61.20695114135742,28.598594665527344,585884.0841791754,6786891.101605154,274,2,0.6276000067591667,0.1976000070571899,0.5575180812420815,1
